year,subsidy,date,time,pages,capsule,capsule_tagged,groups,characters
,,"""",,899,Wayne is sent to St. Elizabeths overnight “for observation”,<wayne>Wayne</> is sent to St. Elizabeths overnight “for observation”,eta,wayne
,,"19 November, Thursday",,845,The A.F.R. form a new plan to “acquire members of the immediate family of the auteur” by impersonating the Québécois junior tennis team and inflitrating E.T.A.,The <afr>A.F.R.</> form a new plan to “acquire members of the immediate family of the auteur” by impersonating the Québécois junior tennis team and inflitrating E.T.A.,"afr,eta",afr
,,"""",,845,"Lenz and Poor Tony, captured at the Antitois’ shop, are shown ‘Infinite Jest’ as part of the A.F.R.’s tests","<lenz>Lenz</> and <poor-tony>Poor Tony</>, captured at the Antitois’ shop, are shown <i>Infinite Jest</i> as part of the <afr>A.F.R.’s</> tests","afr,eh","afr,lenz,poor-tony"
,,"""",,948,“Otis P. Lord had undergone a procedure for the removal of the Hitachi monitor”,“<lord>Otis P. Lord</> had undergone a procedure for the removal of the Hitachi monitor”,eta,lord
,,"20 November, Friday",,851,Hal wakes “before 0500h” in the midst of a snowstorm and discovers Stice’s forehead has become frozen to the window he was leaning against,<hal>Hal</> wakes “before 0500h” in the midst of a snowstorm and discovers <stice>Stice’s</> forehead has become frozen to the window he was leaning against,eta,"stice,hal"
,,"""",,908,Pemulis discovers that the stash of DMZ has vanished; He has little success interfacing with Hal who is more concerned with the O.N.A.N.T.A. drug test 20 days hence,<pemulis>Pemulis</> discovers that the stash of DMZ has vanished; He has little success interfacing with <hal>Hal</> who is more concerned with the O.N.A.N.T.A. drug test 20 days hence,eta,"pemulis,hal"
,,"""",,876,"Rodney Tine Sr. and Jr. meet with execs from InterLace, Glad, and Viney and Veals to plan an anti-Entertainment P.S.A. campaign featuring “Fully Functional Phil, the prancing ass”","<tine-sr>Rodney Tine Sr.</> and <tine-jr>Jr.</> meet with execs from InterLace, Glad, and Viney and Veals to plan an anti-Entertainment P.S.A. campaign featuring “Fully Functional Phil, the prancing ass”",onan,"tine-sr,tine-jr"
,,"""",,934,"Steeply scoops up Joelle, letting her know of the “almost mind-boggling danger” she’s in; after being questioned by the O.U.S. she returns to Ennet House and finds the ADA’s car parked out front","<steeply>Steeply</> scoops up <joelle>Joelle</>, letting her know of the “almost mind-boggling danger” she’s in; after being questioned by the O.U.S. she returns to Ennet House and finds the <ada>ADA’s</> car parked out front","onan,eh","joelle,ada,steeply"
,,"""",“IMMEDIATELY PRE-FUNDRAISER”,"964, 965",Lord reappears at E.T.A. to a “small but univocal cheer”; Poutrincourt has gone AWOL; rumors circulate that a “Québec adult wheelchair-tennis contingent” has arrived,<lord>Lord</> reappears at E.T.A. to a “small but univocal cheer”; <poutrincourt>Poutrincourt</> has gone AWOL; rumors circulate that a “Québec adult <i>wheelchair</i>-tennis contingent” has arrived,"afr,eta","poutrincourt,lord"
,,"""",,971,"Orin awakes within a large green glass tumbler, his technical interview conducted by Luria P—— having already begun","<orin>Orin</> awakes within a large green glass tumbler, his technical interview conducted by <luria>Luria P——</> having already begun","afr,eta","orin,luria"
,,20–1 November,,217,"Hal, Pemulis, and Axford agree on this date as the window of opportunity for testing the DMZ","<hal>Hal</>, <pemulis>Pemulis</>, and <axford>Axford</> agree on this date as the window of opportunity for testing the DMZ",eta,"axford,pemulis,hal"
,,Friday 21 November,,217,“C.T. and Schtitt have arranged a special one-match double’s exhibition for the Sat A.M. following the big meet”,“<tavis>C.T.</> and <schtitt>Schtitt</> have arranged a special one-match double’s exhibition for the Sat A.M. following the big meet”,eta,"schtitt,tavis"
,,28 November,,1009,Orin plays the Patriots,<orin>Orin</> plays the Patriots,eta,orin
,,29 November,,,Whataburger,Whataburger,eta,
,,? November,,16,Hal is wheeled into an emergency room via “psychiatric stretcher”,<hal>Hal</> is wheeled into an emergency room via “psychiatric stretcher”,eta,hal
2010,Year of Glad,February,,4,Correspondence begins between Tavis and Coach White about Hal being recruited by the University of Arizona,Correspondence begins between <tavis>Tavis</> and Coach White about Hal being recruited by the University of Arizona,eta,tavis
2010,Year of Glad,,,"18, 934","John Wayne, Don Gately, and Hal dig up Himself’s head, though in Gately’s premonition of this they are “Too Late”","<wayne>John Wayne</>, <gately>Don Gately</>, and <hal>Hal</> dig up <joi>Himself’s</> head, though in Gately’s premonition of this they are “Too Late”","eta,eh","wayne,gately,joi,hal"
,,,,934,The Continental Emergency (diverted or not),The Continental Emergency (diverted or not),onan,
,,November,,11,Hal’s attempts at communication horrify the deans during an interview at the University of Arizona and are interpreted as a medical emergency,<hal>Hal’s</> attempts at communication horrify the deans during an interview at the University of Arizona and are interpreted as a medical emergency,eta,"deans,delint,hal,tavis"
