pos,seq,section,subsection,pages,notes,year,month,date,head,subhead,capsule,plotlines,themes
99.0,53.0,24.0,5.0,470-475,198.0,2009.0,5.0,1 May Y.D.A.U.,"The Department of Euphoria, so to speak, within the human brain",P-terminals,Marathe and Steeply continued. Discussion of BS government experiments on human subjects...,"A.F.R., O.U.S., Samizdat","Recur, Inf/Reg"
100.0,94.0,24.0,6.0,475-489,199-207,2009.0,11.0,"8 November Y.D.A.U., 1800h.",Lucien’s leonine head is tilted back,"Gately cruises; AFR skewer & spike Lucien & Bertraund, respectively, though not in that order",Gately out in Pat M.’s car picking up special food for Joelle. The Anitois’ store. Arrival of and interrogation by Fortier and the AFR. (Midpoint of novel).,"A.F.R., Gately, Joelle","Recur, Cycles, Fear/Obsess, Inf/Reg, Waste"
101.0,54.0,25.0,1.0,489-491,,2009.0,5.0,1 May Y.D.A.U.,"A ring of smaller and palsied fires, hologrammatical activity",Haven’t you been tempted?,Marathe and Steeply continued.,"A.F.R., O.U.S., Samizdat","Recur, Cycles, His/Father"
102.0,2.0,25.0,2.0,491-503,208.0,1963.0,11.0,Winter 1963,Somersaults with one hand nailed to the floor,Chapter 16 of “The Awakening Of My Interest In Annular Systems”,Jim Incandenza helps his father fix a mattress...,"AA&R, Jim, Tech","Recur, Waste, His/Father, Memory"
103.0,109.0,25.0,3.0,503-507,,2009.0,11.0,9 November Y.D.A.U.,"NA’s traditional huge circle, indiscriminate hugging",,The Roy Tony & Ken Erdedy hugging set-to.,"AA&R, Ennet","Recur, Cycles, Isolation, Non-Action"
104.0,55.0,25.0,4.0,507-508,,2009.0,5.0,1 May Y.D.A.U.,"The stars’ light had paled, empty of intent",We’ve lost some people...,Marathe and Steeply continued.,"A.F.R., O.U.S., Samizdat","Recur, Inf/Reg"
105.0,111.0,25.0,5.0,508-527,209-221,2009.0,11.0,10 November Y.D.A.U.,"Seeming to recede, pulsing with swollen proximity",Eschaton reprisals/In CT’s Waiting Room,"Hal anticipates an official scolding from Charles Tavis for the Eschaton game. He waits in ‘Lateral’ Alice Moore’s office, overhears Avril counseling the pre-teen female ETAs.","E.T.A., AA&R, Hal, Avril","Recur, Fear/Obsess, Cycles, His/Father, Memory"
106.0,56.0,25.0,6.0,528-530,222-223,2009.0,5.0,1 May Y.D.A.U.,"False dawns, a stillness, just below the ring of night","Dawn, L’Odalisque de Ste. Thérèse",Marathe and Steeply continued.,"A.F.R., O.U.S., Samizdat","Recur, Cycles, Secrets, Non-Action, Loss"
107.0,118.0,25.0,7.0,531-538,,2009.0,11.0,"11 November Y.D.A.U., 0450h.","Around in circles, annular and insidious, deformed with beauty",Gately & Joelle: So What’s Behind The Veil?,Discussion between Gately and Joelle. The latter explains her membership in UHID.,"AA&R, Ennet, Joelle, Gately","Recur, Cycles, Secrets, Loss"
108.0,119.0,26.0,1.0,538-547,224-227,2009.0,11.0,11 November Y.D.A.U.,A panoply of strange compulsive habits,Lenz “Resolves” Rats & Cats,Randy Lenz discovers his penchant for killing animals on his walks home after meetings.,"AA&R, Ennet","Recur, Cycles, Fear/Obsess, Secrets, Inf/Reg, Isolation"
109.0,25.0,26.0,2.0,548.0,,2008.0,,unspecified,None of the doors inside Ennet House have locks,For predictable reasons,No door at Ennet House…,Ennet,Boundaries
110.0,78.0,26.0,3.0,548-549,228-229,2009.0,11.0,November Y.D.A.U.,No other activity or connection could hold their attention,Tine’s Ruler / Dissemination Point,Rodney Tine measures his member.,"O.U.S., Samizdat","Recur, Fear/Obsess, Cycles, Secrets, Inf/Reg"
111.0,110.0,26.0,4.0,550-553,,2009.0,11.0,"9 November Y.D.A.U., 2100h.",Absence of control,The Moms & John Wayne dot dot dot,Pemulis interrupts John Wayne and Avril Incandenza in a game of sexual football/cheerleader (possibly role playing as Orin and Joelle).,"E.T.A., Avril","Cycles, Inf/Reg, Secrets, Time"
112.0,120.0,26.0,5.0,553-559,230-233,2009.0,11.0,"11 November Y.D.A.U., around 2200h.",Give up all of your power,Lenz & Bruce Green walk. Lenz Talks.,Randy Lenz and Bruce Green walking back from meetings at night not long before curfew (at 2330h).,"AA&R, Ennet","Recur, Cycles, Secrets, Inf/Reg"
113.0,127.0,26.0,6.0,560.0,,2009.0,11.0,"11 November Y.D.A.U., lunchtime",Over 200 breaths,Wayne Pokes His Head In,Hal in bed after lunch. John Wayne stops by.,"E.T.A., Hal","Cycles, Non-Action"
114.0,121.0,26.0,7.0,560-562,,2009.0,11.0,"11 November Y.D.A.U., after 2200h.",Propitiating the infant,,Randy Lenz and Bruce Green walking continued.,"AA&R, Ennet, O.N.A.N.","Recur, Fear/Obsess, Inf/Reg, Waste, Loss"
115.0,123.0,26.0,8.0,563-565,,2009.0,11.0,"11 November Y.D.A.U., before 2330h.",Individual-resident-informal-interface moments,,Selected snippets of Gately’s interactions with Ennet House residents.,"Ennet, Gately, Joelle",Cycles
116.0,115.0,26.0,9.0,565-567,234-235,2009.0,11.0,10 November Y.D.A.U.,The One,Orin Xs the Swiss Handmodel,Orin and Luria P—— in a hotel room.,"Hal, A.F.R., O.U.S., Jim, Mario, Orin, Avril","Recur, Fear/Obsess, Cycles, Secrets, Inf/Reg, His/Father, Memory"
117.0,128.0,26.0,10.0,567-574,236-238,2009.0,11.0,11 November Y.D.A.U.,An incredible slowing down of time,Pemulis Lectures Arslanian in the tunnel,Idris Arslanian (in a blindfold) runs into first Ted Schacht then Mike Pemulis.,"E.T.A., O.N.A.N., Tech","Recur, Cycles, Fear/Obsess, Waste, Boundaries, Time, Phys/Ob"
118.0,117.0,26.0,11.0,574-575,,2009.0,11.0,10 November Y.D.A.U.,Cycle of seduction,"Handmodel leaves, wheelchairs return.",Orin thinks about the man in a wheelchair at the hotel door as he’s driving away from his hook-up with Luria.,"A.F.R., Orin",Cycles
119.0,124.0,26.0,12.0,575-589,239-241,2009.0,11.0,"11 November Y.D.A.U., before 2330h.",Getting chewed by something huge and tireless and patient,,"Bruce Green remembers the death of his mother. Randy Lenz separates, kills a dog tied up in yard of a house having a Hawaiian party.","AA&R, Ennet, A.F.R.","Recur, Fear/Obsess, Secrets, Inf/Reg, Waste, His/Father, Memory, Time, Dreams, Loss"
120.0,143.0,26.0,13.0,589-593,242-244,2009.0,11.0,"11 November Y.D.A.U., before 2330h.",Real stuff,,"Mario, who can’t sleep, walks around past Ennet House during/after Gately’s showdown with the Canadians.","Ennet, Joelle, Mario","Recur, Phys/Ob, Dreams"
121.0,125.0,26.0,14.0,593-596,245.0,2009.0,11.0,"11 November Y.D.A.U., before 2330h.",The picayune and the unpleasant,,More of Gately’s responsibilities at Ennet House.,"Ennet, Gately","Cycles, Waste, Boundaries"
122.0,116.0,26.0,15.0,596-601,,2009.0,11.0,10 November Y.D.A.U.,Emotions of mastery and control and superiority and pleasure,"Orin, with Swiss ‘subject’, is questioned by disabled surveyor","At the hotel door, Orin answers the man in the wheelchair’s ‘survey’. (The man in the wheelchair is AFR leader M. Fortier himself).","A.F.R., Orin","Recur, Cycles, Inf/Reg, Secrets, Memory, Choice, Dreams, Loss"
123.0,126.0,26.0,16.0,601-619,246-256,2009.0,11.0,11-12 November Y.D.A.U.,One part of something bigger he can’t control,Gately is shot,Gately’s showdown with the Canadians. Gately seriously wounded. (Near midnight given the cars all switching to avoid parking tickets.),"Ennet, Gately, Joelle","Recur, Cycles, Non-Action, Boundaries, Time"
124.0,150.0,27.0,1.0,620-626,257-258,2009.0,11.0,12 November Y.D.A.U.,"Look out below, shriek-roused figures",Abduction at the Duck Pond draining,Student engineer for WYYY is kidnapped by the AFR.,"A.F.R., O.U.S., Art/Ent, O.N.A.N., Tech","Recur, Cycles, Isolation, Non-Action"
125.0,132.0,27.0,2.0,627-638,259-262,2009.0,11.0,"November Y.D.A.U., 1810h.",Sudden anomalies,Stice almost beats Hal; Rapacious eating at ETA,Suppertime at ETA. Conspiracy theory that the milk is powdered.,E.T.A.,"Recur, Cycles, Secrets, Waste, His/Father"
126.0,57.0,27.0,3.0,638-648,263-264,2009.0,5.0,1 May Y.D.A.U.,Pulled apart in different directions,Steeply’s Dad ODs on M*A*S*H,Marathe and Steeply continued.,"A.F.R., O.U.S., Samizdat","Recur, Fear/Obsess, Cycles, Secrets, Inf/Reg, His/Father, Memory"
127.0,147.0,27.0,4.0,648-651,,2009.0,11.0,"13 November Y.D.A.U., 0245h.",Total psychic horror,“billowing black sail of hell”,"Kate Gompert, Geoffrey Day, and Bruce Green in a late-night rap session. Day describes the “large, dark, billowing, black shape” he’s felt twice in his life.",Ennet,"Fear/Obsess, Inf/Reg, Dreams"
128.0,129.0,27.0,5.0,651-662,265-268,2009.0,11.0,11 November Y.D.A.U.,A place inside that can’t be chewed,Hal v. Stice on court; Steeply v. deLint in bleachers,"The match between Stice and Hal. Narrative shifts to Gately sleeping, Poor Tony in the library stall, Pemulis and Struck in the medical library, Steeply talking with Schtitt, CT, and Orin with Luria in “a different tall hotel (from before).” Steeply chats with Aubrey deLint as they watch the first set of the match.","E.T.A., Hal, O.U.S., Art/Ent","Recur, Fear/Obsess, Isolation, Time"
129.0,177.0,27.0,6.0,663-665,269.0,2009.0,11.0,10-19 November Y.D.A.U.,"Closing in, arms open wide, smiling",Marlon Bain on Orin Incandenza,"Epistolary exchange between Steeply and Marlon Bain, Orin’s childhood friend.","E.T.A., O.U.S., Orin, Avril","Secrets, Inf/Reg, His/Father, Non-Action"
130.0,130.0,27.0,7.0,666-673,270-272,2009.0,11.0,"11 November Y.D.A.U., 1625h.",Underground for no good or clear reason,Tunnel Club finds something maggot-infested,"Sub-14 male Eschatonites in ETA’s tunnels on clean-up detail. There are rumors of feral hamsters, but instead they find a refrigerator full of rotting food.",E.T.A.,"Recur, Fear/Obsess, Cycles, Waste"
131.0,131.0,27.0,8.0,673-682,273-277,2009.0,11.0,11 November Y.D.A.U.,Forgetful Will,"Steeply, deLint & Poutrincourt watch Hal v. Stice","Steeply speaks, in French, to female prorector/AFR spy Thierry Poutrincourt.","E.T.A., Hal","Recur, Cycles, Secrets, Boundaries, Choice"
132.0,156.0,27.0,9.0,682-686,278.0,2009.0,11.0,"14 November Y.D.A.U., after 2215h.",Unable not to be afraid,,"Matty Pemulis, male prostitute, eats in a diner. Memories of sexual abuse from his father. Sees Poor Tony trailing Kate Gompert and Ruth Van Cleve in Inman Square.",AA&R,"Fear/Obsess, His/Father, Memory, Non-Action"
133.0,133.0,27.0,10.0,686-689,279.0,2009.0,11.0,11 November Y.D.A.U.,A clear internal-conflict moment,”Abandoning All Hope” / Hal views entertainments,"After supper, Hal decides to watch some of Himself’s films. Description of ‘Wave Bye-Bye to the Bureaucrat’.","Hal, Art/Ent","Recur, His/Father, Memory, Choice"
134.0,155.0,27.0,11.0,689-691,,2009.0,11.0,"14 November Y.D.A.U., after 2215h.",A deceptive feeling of well-being,Poor Tony Krause heads for the Antitois’,"Poor Tony contemplates a purse snatching before he heads to the Antitois’. Thinks about Matty Pemulis who, unbeknownst to Tony, is watching him through the diner window.",AA&R,"Recur, Waste, Memory"
135.0,148.0,27.0,12.0,692.0,,2009.0,11.0,13 November Y.D.A.U.,The frightful hog,,Geoffrey Day misses Lenz “brandishing the Hog” in the 3-man room.,Ennet,"Recur, Loss"
136.0,149.0,27.0,13.0,692-698,280-283,2009.0,11.0,13 November Y.D.A.U.,The great transcendent horror,Hal is lonely; Kate G and her Lionel Train friend,On Kate Gompert’s depression and depression in general. Himself’s ‘The American Century as Seen Through a Brick’ described.,"E.T.A., Hal, Ennet, Art/Ent","Recur, Fear/Obsess, Isolation"
137.0,154.0,27.0,14.0,698-700,284-286,2009.0,11.0,"14 November Y.D.A.U., after 2215h.",Psychotically depressed,,"Kate Gompert and Ruth van Cleve on the street, followed by Poor Tony.","AA&R, Ennet","Recur, Boundaries"
138.0,134.0,27.0,15.0,700.0,,2009.0,11.0,11 November Y.D.A.U.,Preparing to call the action,Troeltsch sets up for play by play,Troeltsch puts in a pro-wrestling cartridge.,E.T.A.,"Fear/Obsess, Time"
139.0,135.0,27.0,16.0,700.0,,2009.0,11.0,11 November Y.D.A.U.,Careful not to let it fall,,Pemulis adjusts a ceiling tile in Subdorm B.,"E.T.A., AA&R","Fear/Obsess, Secrets, Time"
140.0,136.0,27.0,17.0,700.0,,2009.0,11.0,11 November Y.D.A.U.,Eyes rolled up,,Lyle hovers with his eyes rolled up white in the unlit weight room.,E.T.A.,"Boundaries, Time"
141.0,137.0,27.0,18.0,701.0,,2009.0,11.0,11 November Y.D.A.U.,"Downhill flight, preparing to whoop",,Coach Schtitt takes Mario on a ride in his BMW to get ice cream.,"E.T.A., Mario","Recur, Time"
142.0,138.0,27.0,19.0,701.0,,2009.0,11.0,11 November Y.D.A.U.,All going at once,Avril phones Steeply,Avril attempting to call Steeply/Moment Magazine in Arizona.,"E.T.A., Avril","Recur, Fear/Obsess, Time"
143.0,140.0,27.0,20.0,701-711,287-295,2009.0,11.0,14 November Y.D.A.U.,Double-bound desperation,Friends join Hal to view “Blood Sister” / The peanut butter-n-biscuits story NA-splinter CA guy,"Hal watches ‘Blood Sister: One Tough Nun’. The plot of this film in detail. Hal thinks about another of his father’s films, ‘Low-Temperature Civics’. Switch to Joelle at a Cocaine Anon meeting, listening to a speaker describe his lowest moment (walking out on his wife and child.)","E.T.A., AA&R, Hal, Joelle, Art/Ent","Recur, Cycles, Fear/Obsess, Inf/Reg, Non-Action"
144.0,141.0,27.0,21.0,711-714,296-298,2009.0,11.0,11 November Y.D.A.U.,Narratively prolix and tangled stuff,“Blood Sister” run-through,The end of ‘Blood Sister: One Tough Nun’.,"E.T.A., Hal, Art/Ent","Recur, Cycles, Secrets"
145.0,157.0,27.0,22.0,714-716,299.0,2009.0,11.0,"14 November Y.D.A.U., before 2230h.","Right up close, looming in",Poor Tony robs Kate & Ruth,Kate Gompert right after Poor Tony snatched her purse.,"AA&R, Ennet","Recur, Time"
146.0,153.0,27.0,23.0,716-719,,2009.0,11.0,"14 November Y.D.A.U., before 2215h.",Another circle around that circle,Lenz stalks two Chinese women,"Lenz, high on coke, plans to rob the Asian woman.","AA&R, Ennet","Recur, Time"
147.0,112.0,27.0,24.0,719.0,,2009.0,11.0,8-10 November Y.D.A.U.,Turning all the stones,“Two ways of going...”,The AFR lays plans to pursue Orin Incandenza,"A.F.R., Samizdat","Secrets, Choice"
148.0,158.0,27.0,25.0,719-721,,2009.0,11.0,"14 November Y.D.A.U., before 2230h.",Something unimaginable is chasing you,,Poor Tony runs from a pursuing Ruth van Cleve.,"AA&R, Ennet","Recur, His/Father, Memory, Dreams"
149.0,113.0,27.0,26.0,721-723,300-302,2009.0,11.0,8-10 November Y.D.A.U.,"The wrath of a neighbor struck down, fatal pleasures",AFR finds entertainment at Antitois’,Fortier talks about the search for the samizdat at the Antitois’. It isn’t found immediately.,"A.F.R., Samizdat, Orin","Recur, Secrets, Inf/Reg"
150.0,114.0,27.0,27.0,723.0,,2009.0,11.0,10 November Y.D.A.U.,Senses of purpose,Fourtier sacrifices with wheelchair despite alternatives,Fortier enjoys the USA’s condescension toward the wheelchaired.,"A.F.R., Tech","Inf/Reg, Phys/Ob"
151.0,160.0,27.0,28.0,723-724,,2009.0,11.0,"14 November Y.D.A.U., before 2300h.",A fear of her teeth,Joelle dreams of Gately as dentist,Joelle worries about her teeth and dreams of Gately as residents try to sleep. Kate Gompert’s bunk is empty.,Joelle,"Recur, Fear/Obsess, Dreams"
152.0,151.0,27.0,29.0,724-728,303.0,2009.0,11.0,11-13 November Y.D.A.U.,Happy pursuit,"AFR conducts interviews, testing motivation range digitally",The Wheelchair Assassins discover the samizdat.,"A.F.R., Samizdat","Cycles, Waste, Choice"
153.0,159.0,27.0,30.0,728-729,,2009.0,11.0,"14 November Y.D.A.U., before 2230h.",A kind of second city,,"In a back alley after robbing the Asian woman, Randy Lenz hears the crash of a barrel thrown by Poor Tony at Ruth.","AA&R, Ennet","Recur, Fear/Obsess, Waste"
154.0,163.0,27.0,31.0,729-735,304.0,2009.0,11.0,"14 November Y.D.A.U., before 2300h.","A clatter and two shrieks, heads full of parts",,Marathe enters Ennet “clued” by halitotic man,"E.T.A., Ennet, A.F.R.","Recur, Fear/Obsess, Secrets, Inf/Reg, Waste, Memory, Non-Action, Boundaries, Phys/Ob"
155.0,161.0,27.0,32.0,736-747,305-310,2009.0,11.0,"14 November Y.D.A.U., before 2300h.",The second-saddest family Joelle’d ever seen,"Joelle cleans room, remembers first Thanksgiving with the Incandenzas","Joelle cleaning her room. How Joelle and Himself became close. Descriptions of ‘Prenuptial Agreement of Heaven and Hell’, and ‘The Medusa v. The Odalisque’. A very memorable Thanksgiving dinner.","Hal, Joelle, Jim, Orin, Art/Ent, Avril","Recur, Fear/Obsess, Cycles, Inf/Reg, Isolation, His/Father, Memory"
156.0,164.0,27.0,33.0,747-751,311-313,2009.0,11.0,"14 November Y.D.A.U., before 2300h.",Thinking along several parallel tracks,,Marathe’s entry interview with Pat M. at Ennet House.,"Ennet, A.F.R.","Recur, Secrets"
157.0,162.0,27.0,34.0,751-752,,2009.0,11.0,"14 November Y.D.A.U., before 2300h.",Careful rings,,Joelle cleaning. Finishes her Incandenza Thanksgiving story.,Joelle,"Fear/Obsess, Cycles, Secrets"
158.0,165.0,27.0,35.0,752-755,314-315,2009.0,11.0,"14 November Y.D.A.U., before 2300h.",Confusion of choices,"Marathe & Pat talk, Johnette pokes her head in",Marathe’s entry interview with Pat M. at Ennet House continued.,"Ennet, A.F.R.","Recur, Secrets, Choice"
159.0,142.0,27.0,36.0,755-769,316-319,2009.0,11.0,"11 November Y.D.A.U., around 2100h.",A kind of writhing weave,"Mario films, while walking","Mario filming for his documentary. Interviews Felicity Zweig, LaMont Chu, and then the Moms. He asks her, “How can I tell if somebody’s sad?”","E.T.A., AA&R, Mario, Avril","Recur, Cycles, Fear/Obsess, Waste, Isolation, His/Father, Non-Action"
160.0,144.0,27.0,37.0,769-774,320.0,2009.0,11.0,"12 November Y.D.A.U., pre-dawn",Real monsters,Mario and Hal discuss liars,Mario and Hal talk in their room. Hal describes how Pemulis talked his way out of the urine test.,"E.T.A., Hal, Mario, Orin","Recur, Secrets, Waste, Memory, Dreams"
161.0,166.0,27.0,38.0,774-782,,2009.0,11.0,"14 November Y.D.A.U., after 2300h.",The pain of the chains and cage of never choosing,Marathe and Kate get flapped,Marathe and a bruised Kate Gompert meet in a bar. Gompert had come in to throw up after the robbery.,"Ennet, A.F.R.","Recur, Inf/Reg, Isolation, Phys/Ob, Choice"
162.0,145.0,27.0,39.0,782-785,321.0,2009.0,11.0,"12 November Y.D.A.U., pre-dawn",Points moving inexorably toward each other,Hal fesses up to Mario,Mario tells Hal that he seems sad. Hal confesses he uses high-resin Bob Hope to Mario.,"E.T.A., AA&R, Hal, Mario","Recur, Fear/Obsess, Secrets, Isolation, Choice, Dreams"
163.0,172.0,27.0,40.0,785-787,322-323,2009.0,11.0,"17 November Y.D.A.U., just after 0830h.",The kid at the door,,Johnette lets Hal into Ennet House.,"Hal, Ennet","Recur, Secrets"
164.0,,27.0,41.0,787.0,324.0,2009.0,11.0,"17 November Y.D.A.U., 1420h.",Standalone Footnote 324,,,E.T.A.,"Recur, Inf/Reg, His/Father"
165.0,174.0,27.0,42.0,787-795,325-331,2009.0,11.0,17 November Y.D.A.U.,"The exact same kind of monster, a direct facial hit",Molly Notkin tells ALL re Joelle’s history,Results of Rodney Tine Jr.’s interrogation of Molly Notkin. Description of Thanksgiving dinner at Joelle’s parents house in YTMP.,"AA&R, O.U.S., Samizdat, Joelle","Recur, Cycles, Secrets, Inf/Reg, His/Father"
166.0,,27.0,43.0,795.0,332.0,2009.0,11.0,17 November Y.D.A.U.,Standalone Footnote 332,,,E.T.A.,"Recur, Fear/Obsess, Waste, His/Father"
167.0,176.0,27.0,44.0,795-808,333-336,2009.0,11.0,"17 November Y.D.A.U., around 1730h.","Tensed menace, a living thaing that’s chosen to hold itself still",Hal’s Inner Child Meeting,"Hal at what he thinks is a meeting for Narcotics Anonymous. Turns out the meeting focuses on the Inner Infant, and one of the speakers is Kevin Bain, Orin’s friend and the brother of ETA student Marlon.","AA&R, Hal","Recur, Inf/Reg, Isolation"
168.0,167.0,28.0,1.0,809-827,337-341,2009.0,11.0,12-15 November Y.D.A.U.,When it starts to get dark out is when the ceiling breathes,The shadow of something dark,"Gately wakes up in the hospital. Interactions with Tiny Ewell, Pat M., Calvin Thrust, and possibly Joelle.","Ennet, Gately","Recur, Fear/Obsess, His/Father, Memory, Phys/Ob, Dreams"
169.0,169.0,28.0,2.0,827-845,342-343,2009.0,11.0,15-16 November Y.D.A.U.,Feelings of communicative impotence and mute strangulation,,Gately in the hospital. James Incandenza as the wraith.,"Ennet, Gately, Jim, Art/Ent","Recur, Fear/Obsess, Inf/Reg, His/Father, Memory, Non-Action, Phys/Ob, Time, Dreams, Loss"
170.0,179.0,28.0,3.0,845-846,,2009.0,11.0,19 November Y.D.A.U.,A brief period of tension,,The AFR’s plan to replace the Quebecois tennis players en route to ETA,"AA&R, Ennet, A.F.R., Samizdat","Recur, Secrets, Waste"
171.0,170.0,28.0,4.0,846-851,,2009.0,11.0,16 November Y.D.A.U.,More dark myth,"Gately’s dreams: Joelle, Mrs. Waite",Gately in the hospital. His vision of Joelle as Death (while “apparently real nondream Joelle van D. is leaning over the bed’s crib-railing”).,"Joelle, Gately, Art/Ent","Recur, His/Father, Memory, Non-Action, Dreams"
172.0,181.0,28.0,5.0,851-854,344-346,2009.0,11.0,"20 November Y.D.A.U., before 0500h.",Standing on one foot in the dark,Hal in his room while snow falls,Gaudeamus Igitur. Hal narrates. He wakes up after a bad dream.,"AA&R, Hal","Dreams, Loss"
173.0,171.0,28.0,6.0,854-864,347-351,2009.0,11.0,16 November Y.D.A.U.,Personal historical snapshots,,"Joelle visits Gately in the hospital, shares photo album.","AA&R, Joelle, Gately","Recur, His/Father, Memory, Time, Choice"
174.0,182.0,28.0,7.0,864-876,352-353,2009.0,11.0,"20 November Y.D.A.U., around 0500h.",His forehead up against the glass,Stice stuck to window; Hal’s tic; Kenkle & Brandt,"Hal brushes his teeth, finds the window open in the boys bathroom. Subsequently comes across Stice with his forehead frozen to a window in the dorm’s hallway. He asks Troeltsch to watch his toothbrush (“only the worst kind of naïf leaves his toothbrush unattended around ETA…”) and goes to get help. Hal’s uncontrolled ticks start to manifest themselves. He speaks with the ETA janitorial staff and the ticks continue.","E.T.A., Hal",Recur
175.0,180.0,28.0,8.0,876-883,,2009.0,11.0,20 November Y.D.A.U.,Stuff of fucking nightmares,Subsidized time meeting with Glad,"“Weather-delayed meeting” between Rodney Tine, Sr. (and staff) with Glad regarding Year of Glad and Fully Functional Phil, the prancing ass.","O.U.S., Samizdat","Recur, Inf/Reg, His/Father, Phys/Ob, Choice"
176.0,178.0,28.0,9.0,883-896,354-361,2009.0,11.0,16-18 November Y.D.A.U.,"Let them come as they will, but do not entertain them",Gately receives more visitors,Gately in the hospital. Ferocious Francis visits. Gately crushes his doctor’s testicles.,"Ennet, Gately","Recur, Memory, Time, Choice, Dreams"
177.0,183.0,28.0,10.0,896-902,,2009.0,11.0,20 November Y.D.A.U.,"Real beaks and claws, intense horizontality",Hal stream of consciousness amid descent,"Whatever ends up seriously afflicting Hal (likely the DMZ) starts to really kick in (“I was moving down the damp hall when it hit”). In his room, Hal lies down and doesn’t feel like getting up.","E.T.A., Hal, Jim, Avril","Recur, Waste, His/Father, Non-Action, Phys/Ob, Choice"
178.0,5.0,28.0,11.0,902-906,362-365,2009.0,,1990s,"Out of nowhere, the sidewalk comes rushing up to meet you",Gately’s football & pharmacological youth,"Gately’s childhood and history of his substance abuse (9-year-old Gately smokes his first duBois in 1990, quits football and drops out in at 17).","AA&R, Gately","Recur, Memory, Boundaries, Time"
179.0,184.0,28.0,12.0,906-911,366.0,2009.0,11.0,20 November Y.D.A.U.,"Desiccated, deprived of some essential fluid",Pemulis wants to interface with an unimpressed Hal,"Hal talks with Pemulis, who is concerned that the DMZ is gone, then watches part of his father’s film ‘Good-Looking Men in Small Clever Rooms That Utilize Every Centimeter of Available Space with Mind-Boggling Efficiency’.","E.T.A., Hal, Art/Ent","Recur, His/Father, Choice"
180.0,6.0,28.0,13.0,911-916,367-371,2009.0,,1990s,Real addiction and what it can turn someone into,Gately history: Fackleman & Kite,"More of Gately’s history working for Whitey Sorkin with Gene Fackelmann. Gately watches Orin, “The B.U. punter,” on TV “just after Xmas then has a breakdown over his wasted athletic talent.","AA&R, Gately","Recur, Inf/Reg, Memory, Loss"
181.0,185.0,28.0,14.0,916.0,,2009.0,11.0,20 November Y.D.A.U.,Looking up into the darkness,Pemulis checks his entrepot,Pemulis finds several drop-ceiling panels on the floor of Subdormitory B. He’s looking for the DMZ in an old sneaker behind the relevant panel. (Makes sense that Pemulis would go to gather his stash from its hiding spot after he was kicked out. As for who took it – that’s one of the big questions of IJ. A popular theory for Hal’s strange illness at the end of the book is that he was dosed with the DMZ. So who would swipe the DMZ and dose Hal? The wraith trying to bring Hal out of his shell perhaps? The AFR spy John Wayne? Avril? An infiltrating AFR agent arriving in advance of the rest of the group in the tennis bus?),"E.T.A., AA&R","Secrets, Boundaries, Loss"
182.0,188.0,28.0,15.0,916-934,372-376,2009.0,11.0,19-20 November Y.D.A.U.,A thing that basically hides,Gately: Fackleman’s HUGE windfall; digging dream.,"More on Gene Fackelmann and Gately’s ex-girlfriend Pamela Hoffman-Jeep. Back in the hospital, Gately dreams about riding in “a bus the same color as its own exhaust” aka the Paragon bus gray line of the next scene. Lyle in wraith form licks Gately’s forehead. Gately has a prescient dream of Hal and Joelle in a graveyard digging up James Incandenza’s head.","AA&R, Hal, Gately, Joelle, Jim","Recur, Cycles, Inf/Reg, Waste, His/Father, Isolation, Memory, Non-Action, Time, Dreams"
183.0,190.0,28.0,16.0,934.0,,2009.0,11.0,20 November Y.D.A.U.,Almost mind-boggling danger,Joelle is warned by Steeply,Joelle is picked up by the O.U.S. after visiting Gately.,"O.U.S., Joelle",Secrets
184.0,189.0,28.0,17.0,934-938,377.0,2009.0,11.0,20 November Y.D.A.U.,Like men deep under water,Gately & Fackleman’s MASSIVE Dilaudid binge,Gately flashes back to when he and Gene tackle Mt. Dilaudid while experiencing heart arrhythmia in the hospital.,"AA&R, Gately","Recur, Memory, Non-Action, Boundaries, Time, Dreams"
185.0,191.0,28.0,18.0,938-941,,2009.0,11.0,20 November Y.D.A.U.,Terminally compelling,,Joelle questioned about the Entertainment by Steeply.,"O.U.S., Samizdat, Joelle","Recur, Cycles, Inf/Reg, Loss"
186.0,186.0,28.0,19.0,941-958,378-382,2009.0,11.0,20 November Y.D.A.U.,People broken into pieces and trying to join,"Hal thinks; Stice on ceiling, mapless, Accomplice!, Weston, Orin’s porno, Avril’s .… proclivities",Mario and Kyle Dempy Coyle are also watching one of Himself’s films. Explanation of what happened to Stice. Description of ‘Accomplice!’.,"E.T.A., Hal, Jim, Orin, Art/Ent, Avril","Recur, Cycles, Secrets, Isolation, His/Father, Memory, Non-Action, Phys/Ob"
187.0,192.0,28.0,20.0,958.0,,2009.0,11.0,20 November Y.D.A.U.,A linen-pale version of what she really looked like,"Joelle, post interview, returns to Ennet","On her return to Ennett House, Joelle sees a county sheriff’s car stationed outside, which presumably transported the ADA to Ennet.",Joelle,Recur
188.0,193.0,28.0,21.0,958-960,,2009.0,11.0,20 November Y.D.A.U.,Another of those round-robin-speaker deals,Mickey’s “cunt sister” denies consent,"Mikey, a “sick fuck,” tells his story at an AA meeting.","AA&R, Joelle",Cycles
